"优先级","网址","页面类型","评分","发布日期/更新日","词数","文章内链入站","正文内链","外部证据链接","判定依据","建议动作"
"A","https://worldcleanbiz.com/blog/who-owns-craftsman-tools-stanley-black-decker","文章","11","2026-08-03","2164","4","4","9","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-einhell-power-x-change","文章","11","2026-08-08","2248","3","5","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-festool-tts-tooltechnic-systems","文章","11","2026-08-03","2130","3","4","6","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-hilti-family-trust-manufacturing","文章","11","2026-08-03","2266","4","4","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-skil-tools-chervon","文章","11","2026-08-08","2218","3","4","8","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/above-ground-vs-in-ground-robotic-pool-cleaners","文章","10","2026-07-25","1623","4","4","5","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/aiper-vs-beatbot-fluidra-xingmai","文章","10","2026-07-19","3218","2","8","11","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/bissell-little-green-vs-hoover-cleanslate","文章","10","2026-07-26","2448","2","5","4","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/commercial-carpet-extractor-buying-guide","文章","10","2026-07-24","3160","2","6","13","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/commercial-robot-mower-supplier-evaluation","文章","10","2026-07-25","3556","2","5","2","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/cordless-vacuum-cleaner-manufacturing-cost","文章","10","2026-07-26","2381","5","3","8","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dolphin-robotic-pool-cleaner-buying-guide","文章","10","2026-07-26","2368","1","7","11","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dolphin-vs-polaris-pool-cleaners","文章","10","2026-07-25","2767","1","5","8","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/floor-washer-oem-odm-guide","文章","10","2026-07-25","1907","6","5","2","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/hard-floor-washer-market-brands-oem-opportunities","文章","10","2026-07-25","1385","4","5","4","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/hayward-vs-pentair-vs-fluidra","文章","10","2026-07-24","2129","2","6","9","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/husqvarna-automower-vs-mammotion-luba","文章","10","2026-07-26","2783","1","6","9","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/luba-vs-navimow-mammotion-ninebot","文章","10","2026-07-19","3279","3","3","9","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/roborock-vs-dreame-global-strategies","文章","10","2026-07-16T23:50:26+08:00","2944","4","2","5","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/shark-vs-dyson-cordless-vacuums","文章","10","2026-07-26","3053","3","3","11","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/tineco-vs-shark-hydrovac-floor-washers","文章","10","2026-07-26","2172","2","4","5","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-makes-lg-appliances-manufacturing-network","文章","10","2026-08-05","1892","4","7","7","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-makes-samsung-appliances-manufacturing-bespoke-ai","文章","10","2026-08-05","1797","5","7","6","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-bissell-family-sanitaire","文章","10","2026-08-08","2049","6","3","11","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-bosch-power-tools-robert-bosch","文章","10","2026-08-01","1708","4","5","5","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-haier-appliances-brand-portfolio","文章","10","2026-08-05","1859","5","8","8","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-hayward-pool-products","文章","10","2026-08-09","2739","2","6","6","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-hoover-tti-haier-candy","文章","10","2026-08-08","2148","10","2","11","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-ridgid-wet-dry-vacuums-emerson","文章","10","2026-08-09","2080","1","4","7","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-snap-on-tools-company-manufacturing","文章","10","2026-08-05","2123","2","5","7","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-stihl-family-manufacturing","文章","10","2026-08-08","2186","1","6","7","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-tineco-ecovacs-group","文章","10","2026-08-08","1794","7","4","6","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/sourcing/commercial-cleaning","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/sourcing/floor-washers","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/sourcing/lawn-robots","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/sourcing/pool-robots","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/sourcing/robotic-vacuums","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/sourcing/vacuum-cleaners","采购页","10","","","","","","核心询盘/采购转化页面","优先从首页和相关文章加强入口并请求抓取"
"A","https://worldcleanbiz.com/blog/aiper-vs-wybot-fluidra-wybotics","文章","9","2026-07-19","3135","1","3","14","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/are-robot-lawn-mowers-safe","文章","9","2026-07-20","3480","5","11","12","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/beatbot-vs-dolphin-xingmai-maytronics","文章","9","2026-07-19","3311","2","3","15","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/can-robot-lawn-mowers-handle-slopes","文章","9","2026-07-20","2643","4","9","6","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/commercial-cleaning-robot-market","文章","9","2026-07-24","2930","3","4","10","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/commercial-robotic-lawn-mowers","文章","9","2026-07-20","3633","3","5","15","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/cordless-vacuum-cleaner-oem-odm-guide","文章","9","2026-07-26","3179","7","6","0","指南型内容；商业/采购意图；内容深度高；站内引用较强；无外部证据链接","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dji-romo-p-vs-roborock-saros-10r","文章","9","2026-07-26","1479","1","4","3","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dolphin-vs-hayward-robotic-pool-cleaners","文章","9","2026-07-26","1909","1","7","4","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dreame-vs-ecovacs-robot-vacuums","文章","9","2026-07-26","2103","2","3","4","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dyson-v16-piston-animal-vs-gen5detect","文章","9","2026-07-26","1363","1","4","5","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dyson-washg1-vs-tineco-floor-one","文章","9","2026-07-26","2157","1","3","3","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/floor-scrubber-not-picking-up-water","文章","9","2026-07-21","2582","5","4","6","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/how-long-do-robot-lawn-mowers-last","文章","9","2026-07-20","3352","6","9","12","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/how-long-do-robotic-pool-cleaners-last","文章","9","2026-07-20","3392","5","9","8","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/how-robot-lawn-mowers-work","文章","9","2026-07-20","3324","6","5","9","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/how-robotic-pool-cleaners-work","文章","9","2026-07-19","3208","9","7","13","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/is-dreame-owned-by-xiaomi","文章","9","2026-07-17","2047","3","5","9","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/roborock-vs-dreame-robot-vacuums","文章","9","2026-07-26","2288","4","4","0","指南型内容；商业/采购意图；内容深度高；站内引用较强；无外部证据链接","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/roborock-vs-narwal-robot-vacuums","文章","9","2026-07-26","1732","1","4","3","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/roborock-vs-roomba-robot-vacuums","文章","9","2026-07-26","2451","1","3","8","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-lawn-mower-cost-installation-maintenance","文章","9","2026-07-25","2503","7","5","0","指南型内容；商业/采购意图；内容深度高；站内引用较强；无外部证据链接","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-lawn-mower-installation","文章","9","2026-07-20","3335","8","7","22","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-lawn-mower-manufacturing-cost","文章","9","2026-07-25","1487","2","4","2","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-lawn-mower-without-perimeter-wire","文章","9","2026-07-19","2825","10","7","15","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-pool-cleaner-buying-guide","文章","9","2026-07-26","2737","8","6","0","指南型内容；商业/采购意图；内容深度高；站内引用较强；无外部证据链接","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-pool-skimmer-buying-guide","文章","9","2026-07-26","2611","1","3","6","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/self-emptying-robot-vacuum-market","文章","9","2026-07-25","2825","3","6","14","指南型内容；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-makes-erbauer-tools-kingfisher","文章","9","2026-08-05","1368","1","8","7","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-makes-parkside-tools-lidl-suppliers","文章","9","2026-08-04","1109","3","4","5","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-black-and-decker-stanley-tools","文章","9","2026-07-25","2292","1","2","11","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-chervon-ego-flex-skil","文章","9","2026-08-05","1457","2","10","7","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-evolution-power-tools","文章","9","2026-08-05","1526","1","9","8","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-flex-tools-chervon-lowes","文章","9","2026-08-04","1793","2","4","6","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-irobot-roomba-picea-robotics","文章","9","2026-08-09","2115","2","2","7","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-makita-company-manufacturing","文章","9","2026-08-01","1459","1","5","3","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-milwaukee-tools-tti-manufacturing","文章","9","2026-08-01","1597","4","5","1","指南型内容；商业/采购意图；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-narwal-yunjing-investors-manufacturing","文章","9","2026-07-18","2195","1","3","10","指南型内容；商业/采购意图；内容深度高","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-porter-cable-stanley-black-decker","文章","9","2026-08-04","1895","1","4","7","指南型内容；商业/采购意图","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/guides","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/buying","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/comparison","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/explainer","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/maintenance","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/ownership","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/guides/sourcing","指南目录","9","","","","","","高意图专题聚合入口","优先抓取并维持服务端分页内链"
"A","https://worldcleanbiz.com/blog/series/building-worlds-no-1-cleaning-show-from-scratch","专题目录","8","","","","","","稳定专题聚合入口","保留索引并从Blog/文章持续链接"
"A","https://worldcleanbiz.com/wcb-expo","展会页","8","","","","","","核心品牌与活动实体页面","优先抓取并保持导航/首页入口"
"A","https://worldcleanbiz.com/brands/black-decker","品牌页","6","","","3","","","3篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/bosch-home-appliances","品牌页","6","","","3","","","3篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/bosch-power-tools","品牌页","6","","","7","","","7篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/dirt-devil","品牌页","6","","","4","","","4篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/dji-romo","品牌页","6","","","4","","","4篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/dreame","品牌页","6","","","3","","","3篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/ecovacs","品牌页","6","","","4","","","4篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/philips-home-appliances","品牌页","6","","","3","","","3篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/roborock","品牌页","6","","","3","","","3篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"A","https://worldcleanbiz.com/brands/segway-navimow","品牌页","6","","","5","","","5篇文章建立品牌关系","从高流量相关文章强化品牌页入口"
"B","https://worldcleanbiz.com/blog/autonomous-floor-scrubber","文章","8","2026-07-20","2233","7","3","7","指南型内容；内容深度高；站内引用较强","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/beatbot-robotic-pool-cleaner-buying-guide","文章","8","2026-07-26","2317","2","4","0","指南型内容；商业/采购意图；内容深度高；无外部证据链接","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/bissell-little-green-hydrosteam-vs-shark-stainstriker-hairpro","文章","8","2026-07-26","2414","1","4","0","指南型内容；商业/采购意图；内容深度高；无外部证据链接","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/bissell-little-green-vs-spotclean","文章","8","2026-07-26","2182","1","3","1","指南型内容；商业/采购意图；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/can-you-swim-with-a-robotic-pool-cleaner","文章","8","2026-07-20","2678","1","8","11","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/floor-scrubber-maintenance-checklist","文章","8","2026-07-24","3298","1","6","4","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/floor-scrubber-not-dispensing-water","文章","8","2026-07-24","2980","1","5","5","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/industrial-cleaning-equipment-market","文章","8","2026-07-24","2350","1","7","8","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robot-lawn-mower-buying-guide","文章","8","2026-07-26","1564","9","5","0","指南型内容；商业/采购意图；站内引用较强；无外部证据链接","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robot-lawn-mower-maintenance-winter-storage","文章","8","2026-07-25","2894","2","4","7","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robot-lawn-mowers-for-small-yards","文章","8","2026-07-26","2442","2","4","0","指南型内容；商业/采购意图；内容深度高；无外部证据链接","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robot-vacuum-for-pet-hair-buying-guide","文章","8","2026-07-26","2333","2","4","0","指南型内容；商业/采购意图；内容深度高；无外部证据链接","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robotic-pool-cleaner-not-climbing-walls","文章","8","2026-07-21","3501","1","5","9","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robotic-pool-cleaner-not-moving","文章","8","2026-07-21","3326","1","7","4","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/robotic-pool-cleaner-not-picking-up-debris","文章","8","2026-07-24","2952","2","6","11","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/what-brands-does-fluidra-own","文章","8","2026-07-23","2572","2","6","7","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
"B","https://worldcleanbiz.com/blog/what-is-a-carpet-extractor","文章","8","2026-07-23","2358","2","6","6","指南型内容；内容深度高","补2-3条相关正文内链，按主题批次观察抓取"
